law_id,law_title,law_text,location,keywords
23,title 55.1 chapter 12 section 55.1-1227 ," In addition to the provisions of the rental agreement, the tenant shall: Comply with all obligations primarily imposed upon tenants by applicable provisions of building and housing codes materially affecting health and safety; Keep that part of the dwelling unit and the part of the premises that he occupies and uses as clean and safe as the condition of the premises permit; Keep that part of the dwelling unit and the part of the premises that he occupies free from insects and pests, as those terms are defined in Section 2-3900, and promptly notify the landlord of the existence of any insects or pests; Remove from his dwelling unit all ashes, garbage, rubbish, and other waste in a clean and safe manner and in the appropriate receptacles provided by the landlord; Keep all plumbing fixtures in the dwelling unit or used by the tenant as clean as their condition permits; Use in a reasonable manner all utilities and all electrical, plumbing, sanitary, heating, ventilating, air-conditioning, and other facilities and appliances, including an elevator in a multifamily premises, and keep all utility services paid for by the tenant to the utility service provider or its agent on at all times during the term of the rental agreement; Not deliberately or negligently destroy, deface, damage, impair, or remove any part of the premises or permit any person, whether known by the tenant or not, to do so; Not remove or tamper with a properly functioning smoke alarm installed by the landlord, including removing any working batteries, so as to render the alarm inoperative. The tenant shall maintain the smoke alarm in accordance with the uniform set of standards for maintenance of smoke alarms established in the Statewide Fire Prevention Code (Section 27-94 et seq.) and subdivision C 6 of Section 36-105, Part III of the Uniform Statewide Building Code (Section 36-97 et seq.); Not remove or tamper with a properly functioning carbon monoxide alarm installed by the landlord, including the removal of any working batteries, so as to render the carbon monoxide alarm inoperative. The tenant shall maintain the carbon monoxide alarm in accordance with the uniform set of standards for maintenance of carbon monoxide alarms established in the Statewide Fire Prevention Code (Section 27-94 et seq.) and subdivision C 6 of Section 36-105, Part III of the Uniform Statewide Building Code (Section 36-97 et seq.);10. Use reasonable efforts to maintain the dwelling unit and any other part of the premises that he occupies in such a condition as to prevent accumulation of moisture and the growth of mold and promptly notify the landlord of any moisture accumulation that occurs or of any visible evidence of mold discovered by the tenant;1 Not paint or disturb painted surfaces or make alterations in the dwelling unit without the prior written approval of the landlord, provided that  the dwelling unit was constructed prior to 1978 and therefore requires the landlord to provide the tenant with lead-based paint disclosures and  the landlord has provided the tenant with such disclosures and the rental agreement provides that the tenant is required to obtain the landlord's prior written approval before painting, disturbing painted surfaces, or making alterations in the dwelling unit;1 Be responsible for his conduct and the conduct of other persons, whether known by the tenant or not, who are on the premises with his consent, to ensure that his neighbors' peaceful enjoyment of the premises will not be disturbed;1 Abide by all reasonable rules and regulations imposed by the landlord;1 Be financially responsible for the added cost of treatment or extermination due to the tenant's unreasonable delay in reporting the existence of any insects or pests and be financially responsible for the cost of treatment or extermination due to the tenant's fault in failing to prevent infestation of any insects or pests in the area occupied; and1 Use reasonable care to prevent any dog or other animal in possession of the tenant, authorized occupants, or guests or invitees from causing personal injuries to a third party in the dwelling unit or on the premises, or property damage to the dwelling unit or the premises. If the duty imposed by subdivision A 1 is greater than any duty imposed by any other subdivision of that subsection, the tenant's duty shall be determined by reference to subdivision A 1974, c. 680, Section 55-2416; 1987, c. 428; 1999, c. 80; 2000, c. 760; 2003, c. 355; 2004, c. 226; 2008, cc. 489, 617, 640; 2009, c. 663; 2011, c. 766; 2014, c. 632; 2016, c. 744; 2017, cc. 262, 730; 2018, cc. 41, 81, 221; 2019, c. 71",VA,"alarm, tenant, unit, dwelling, subdivision, pest, clean, premise, insect, code"
24,title 55.1 chapter 12 section 55.1-1229 ,"  The tenant shall not unreasonably withhold consent to the landlord to enter into the dwelling unit in order to inspect the premises; make necessary or agreed-upon repairs, decorations, alterations, or improvements; supply necessary or agreed-upon services; or exhibit the dwelling unit to prospective or actual purchasers, mortgagees, tenants, workmen, or contractors. If, upon inspection of a dwelling unit during the term of a tenancy, the landlord determines there is a violation by the tenant of Section 51-1227 or the rental agreement materially affecting health and safety that can be remedied by repair, replacement of a damaged item, or cleaning in accordance with Section 51-1248, the landlord may make such repairs and send the tenant an invoice for payment. If, upon inspection of the dwelling unit during the term of a tenancy, the landlord discovers a violation of the rental agreement, this chapter, or other applicable law, the landlord may send a written notice of termination pursuant to Section 51-124 If the rental agreement so provides and if a tenant without reasonable justification declines to permit the landlord or managing agent to exhibit the dwelling unit for sale or lease, the landlord may recover damages, costs, and reasonable attorney fees against such tenant.As used in this subdivision, ""reasonable justification"" includes the tenant's reasonable concern for his own health, or the health of any authorized occupant, during a state of emergency declared by the Governor pursuant to Section 44-1417 in response to a communicable disease of public health threat as defined in Section 44-1416, provided that the tenant has provided written notice to the landlord informing the landlord of such concern. In such circumstances, the tenant shall provide to the landlord or managing agent a video tour of the dwelling unit or other acceptable substitute for exhibiting the dwelling unit for sale or lease. The landlord may enter the dwelling unit without consent of the tenant in case of emergency. The landlord shall not abuse the right of access or use it to harass the tenant. Except in case of emergency or if it is impractical to do so, the landlord shall give the tenant notice of his intent to enter and may enter only at reasonable times. Unless impractical to do so, the landlord shall give the tenant at least 72 hours' notice of routine maintenance to be performed that has not been requested by the tenant. If the tenant makes a request for maintenance, the landlord is not required to provide notice to the tenant. Notwithstanding the foregoing, during a state of emergency declared by the Governor pursuant to Section 44-1417 in response to a communicable disease of public health threat as defined in Section 44-1416, the tenant may provide written notice to the landlord requesting that one or more nonemergency property conditions in the dwelling unit not be addressed in the normal course of business of the landlord due to such communicable disease of public health threat. In such case, the tenant shall be deemed to have waived any and all claims and rights under this chapter against the landlord for failure to address such nonemergency property conditions. At any time thereafter, the tenant may consent in writing to the landlord addressing such nonemergency property conditions in the normal course of business of the landlord. In the case of a tenant who has provided notice that he does not want nonemergency repairs made during the state of emergency due to a communicable disease of public health threat, the landlord may nonetheless enter the dwelling unit to do nonemergency repairs and maintenance with at least seven days' written notice to the tenant and at a time consented to by the tenant, no more than once every six months, provided that the employees and agents sent by the landlord are wearing all appropriate and reasonable personal protective equipment as required by state law. Furthermore, if the landlord is required to conduct maintenance or an inspection pursuant to the agreement for the loan or insurance policy that covers the dwelling unit, the tenant shall allow such maintenance or inspection, provided that the employees and agents sent by the landlord are wearing all appropriate personal protective equipment as required by state law. During the pendency of an unlawful detainer filed by the landlord against the tenant, the landlord may request the court to enter an order requiring the tenant to provide the landlord with access to such dwelling unit. Upon the sole determination by the landlord of the existence of a nonemergency property condition in the dwelling unit that requires the tenant to temporarily vacate the dwelling unit in order for the landlord to properly remedy such property condition, the landlord may, upon at least 30 days' written notice to the tenant, require the tenant to temporarily vacate the dwelling unit for a period not to exceed 30 days to a comparable dwelling unit, or hotel, as selected by the landlord and at no expense or cost to the tenant. The landlord shall not be required to pay for any other expenses of the tenant that arise after the temporary relocation period. The landlord and tenant may agree for the tenant to temporarily vacate the dwelling unit in less than 30 days. For purposes of this subsection, ""nonemergency property condition"" means  a condition in the dwelling unit that, in the determination of the landlord, is necessary for the landlord to remedy in order for the landlord to be in compliance with Section 51-1220;  the condition does not need to be remedied within a 24-hour period, with any condition that needs to be remedied within 24 hours being defined as an ""emergency condition""; and  the condition can only be effectively remedied by the temporary relocation of the tenant pursuant to the provisions of this subsection.The tenant shall continue to be responsible for payment of rent under the rental agreement during the period of any temporary relocation. The landlord shall pay all costs of repairs or remediation required to address the nonemergency property condition. Refusal of the tenant to cooperate with a temporary relocation pursuant to this subsection shall be deemed a breach of the rental agreement, unless the tenant agrees to vacate the unit and terminate the rental agreement within the 30-day notice period. If the landlord properly remedies the nonemergency property condition within the 30-day period, nothing in this section shall be construed to entitle the tenant to terminate the rental agreement. Further, nothing in this section shall be construed to limit the landlord from taking legal action against the tenant for any noncompliance that occurs during the period of any temporary relocation pursuant to this subsection. During the pendency of an unlawful detainer filed by the landlord against the tenant, the landlord may request the court to enter an order requiring the tenant to provide the landlord with access to such dwelling unit. The landlord has no other right to access except by court order or that permitted by SectionSection 51-1248 and 51-1249 or if the tenant has abandoned or surrendered the premises. The tenant may install within the dwelling unit new security systems that the tenant may believe necessary to ensure his safety, including chain latch devices approved by the landlord and fire detection devices, provided that: Installation does no permanent damage to any part of the dwelling unit; A duplicate of all keys and instructions for the operation of all devices are given to the landlord; and Upon termination of the tenancy, the tenant is responsible for payment to the landlord for reasonable costs incurred for the removal of all such devices and repairs to all damaged areas. Upon written request of a tenant in a dwelling unit, the landlord shall install a carbon monoxide alarm in the tenant's dwelling unit within 90 days. The landlord may charge the tenant a reasonable fee to recover the costs of the equipment and labor for such installation. The landlord's installation of a carbon monoxide alarm shall be in compliance with the Uniform Statewide Building Code (Section 36-97 et seq.).1974, c. 680, Section 55-2418; 1993, c. 634; 1995, c. 601; 1999, c. 65; 2000, c. 760; 2001, c. 524; 2004, c. 307; 2008, cc. 489, 617; 2009, c. 663; 2011, c. 766; 2014, c. 632; 2015, c. 596; 2016, c. 744; 2017, c. 730; 2018, cc. 41, 81; 2019, c. 712; 2021, Sp. Sess. I, c. 40",VA,"landlord, tenant, unit, dwelling, nonemergency, condition, repair, health, emergency, enter"
25,title 55.1 chapter 12 section 55.1-1231 ,"Where a mold condition in the dwelling unit materially affects the health or safety of any tenant or authorized occupant, the landlord may require the tenant to temporarily vacate the dwelling unit in order for the landlord to perform mold remediation in accordance with professional standards as defined in Section 51-1200 for a period not to exceed 30 days. The landlord shall provide the tenant with either  a comparable dwelling unit, as selected by the landlord, at no expense or cost to the tenant or  a hotel room, as selected by the landlord, at no expense or cost to the tenant. The landlord shall not be required to pay for any other expenses of the tenant that arise after the relocation period. The tenant shall continue to be responsible for payment of rent under the rental agreement during the period of any temporary relocation and for the remainder of the term of the rental agreement following the remediation. Nothing in this section shall be construed as entitling the tenant to a termination of a tenancy where the landlord has remediated a mold condition in accordance with professional standards as defined in Section 51-1200. The landlord shall pay all costs of the relocation and the mold remediation, unless the mold is a result of the tenant's failure to comply with Section 51-1222008, c. 640, Section 55-2418:2; 2009, c. 663; 2011, c. 779; 2016, c. 744; 2017, c. 730; 2019, c. 71",VA,"mold, remediation, landlord, tenant, relocation, expense, selected, professional, period, cost"
26,title 55.1 chapter 12 section 55.1-1232 ,"Unless otherwise agreed, the tenant shall occupy his dwelling unit only as a residence.1974, c. 680, Section 55-2419; 2000, c. 760; 2019, c. 71",VA,"residence, occupy, agreed, business, unless, unit, dwelling, section, tenant, shall"
27,title 55.1 chapter 12 section 55.1-1233 ,"At the termination of the term of tenancy, whether by expiration of the rental agreement or by reason of default by the tenant, the tenant shall promptly vacate the premises, removing all items of personal property and leaving the premises in good and clean order, reasonable wear and tear excepted. If the tenant fails to vacate, the landlord may bring an action for possession and damages, including reasonable attorney fees.1974, c. 680, Section 55-2420; 2000, c. 760; 2019, c. 71",VA,"vacate, expiration, reasonable, leaving, excepted, tenant, wear, tear, removing, default"
28,title 55.1 chapter 12 section 55.1-1234.1 ," If, at the beginning of the tenancy, a condition exists in a rental dwelling unit that constitutes a fire hazard or serious threat to the life, health, or safety of tenants or occupants of the premises, including an infestation of rodents or a lack of heat, hot or cold running water, electricity, or adequate sewage disposal facilities, the tenant shall be entitled to terminate the rental agreement and receive a full refund of all deposits and rent paid to the landlord, so long as the tenant provides the landlord with written notice of his intent to terminate the rental agreement within seven days of the date on which possession of the dwelling unit was to have transferred to the tenant. Unless the landlord asserts, pursuant to subsection B, that the tenant's termination of the rental agreement is unjustified, the landlord shall refund all deposits and rent paid by the tenant to the tenant on or before the fifteenth business day following the day on which  the termination notice is delivered to the landlord or  the tenant vacates the dwelling unit, whichever occurs later. If a tenant terminates a rental agreement pursuant to subsection A and the landlord asserts that the tenant is unjustified in his termination of the rental agreement, the landlord shall provide written notice to the tenant of his refusal to accept the tenant's termination notice, along with the reasons for such refusal, within 15 business days following the date on which such termination notice is delivered to the landlord. A tenant who has not taken possession or who has vacated the dwelling unit may file an action in a court of competent jurisdiction to contest the landlord's refusal to accept the termination notice, if applicable, and for the return of any deposits and rent paid to the landlord. In any such action, the prevailing party shall be entitled to recover reasonable attorney fees.2023, c. 43",VA,"tenant, landlord, termination, rental, refusal, notice, agreement, unjustified, asserts, unit"
29,title 55.1 chapter 12 section 55.1-1235 ," Any member of the Armed Forces of the United States or a member of the National Guard serving on full-time duty or as a civil service technician with the National Guard may, through the procedure detailed in subsection B, terminate his rental agreement if the member  has received permanent change of station orders to depart 35 miles or more (radius) from the location of the dwelling unit,  has received temporary duty orders in excess of three months' duration to depart 35 miles or more (radius) from the location of the dwelling unit,  is discharged or released from active duty with the Armed Forces of the United States or from his full-time duty or technician status with the National Guard, or (iv) is ordered to report to government-supplied quarters resulting in the forfeiture of basic allowance for quarters. Tenants who qualify to terminate a rental agreement pursuant to subsection A shall do so by serving on the landlord a written notice of termination to be effective on a date stated in such written notice, such date to be not less than 30 days after the first date on which the next rental payment is due and payable after the date on which the written notice is given. The termination date shall be no more than 60 days prior to the date of departure necessary to comply with the official orders or any supplemental instructions for interim training or duty prior to the transfer. Prior to the termination date, the tenant shall furnish the landlord with a copy of the official notification of the orders or a signed letter, confirming the orders, from the tenant's commanding officer. The landlord may not charge any liquidated damages. Nothing in this section shall affect the tenant's obligations established by Section 51-1221977, c. 427, Section 55-2421:1; 1978, c. 104; 1982, c. 260; 1983, c. 241; 1986, c. 29; 1988, c. 184; 2000, c. 760; 2002, c. 760; 2005, c. 742; 2006, c. 667; 2007, c. 252; 2017, c. 730; 2019, c. 71",VA,"date, duty, guard, national, member, order, termination, station, radius, mile"
30,title 55.1 chapter 12 section 55.1-1236 ," Any tenant who is a victim of  family abuse as defined by Section 11-228,  sexual abuse as defined by Section 12-610, or  other criminal sexual assault under Article 7 (Section 12-61 et seq.) of Chapter 4 of Title 12 may terminate such tenant's obligations under a rental agreement under the following circumstances: The victim has obtained an order of protection pursuant to Section 11-271 and has given written notice of termination in accordance with subsection B during the period of the protective order or any extension thereof; or A court has entered an order convicting a perpetrator of any crime of sexual assault under Article 7 (Section 12-61 et seq.) of Chapter 4 of Title 12, sexual abuse as defined by Section 12-610, or family abuse as defined by Section 11-228 against the victim and the victim gives written notice of termination in accordance with subsection  A victim may exercise a right of termination under this section to terminate a rental agreement in effect when the conviction order is entered and one subsequent rental agreement based upon the same conviction. A tenant who qualifies to terminate such tenant's obligations under a rental agreement pursuant to subsection A shall do so by serving on the landlord a written notice of termination to be effective on a date stated in such written notice, such date to be not less than 30 days after the first date on which the next rental payment is due and payable after the date on which the written notice is given. When the tenant serves the termination notice on the landlord, the tenant shall also provide the landlord with a copy of  the order of protection issued or  the conviction order. The rent shall be payable at such time as would otherwise have been required by the terms of the rental agreement through the effective date of the termination as provided in subsection  The landlord may not charge any liquidated damages. The victim's obligations as a tenant under Section 51-1227 shall continue through the effective date of the termination as provided in subsection  Any co-tenants on the lease with the victim shall remain responsible for the rent for the balance of the term of the rental agreement. If the perpetrator is the remaining sole tenant obligated on the rental agreement, the landlord may terminate the rental agreement and collect actual damages for such termination against the perpetrator pursuant to Section 51-1252013, c. 531, Section 55-2421:2; 2019, c. 71",VA,"victim, termination, rental, abuse, sexual, section, agreement, date, perpetrator, conviction"
31,title 55.1 chapter 12 section 55.1-1237 ," The landlord of a dwelling unit used as a single-family residence shall give written notice to the tenant or any prospective tenant of such dwelling unit that the landlord has received a notice of a mortgage default, mortgage acceleration, or foreclosure sale relative to the loan on the dwelling unit within five business days after written notice from the lender is received by the landlord. This requirement shall not apply  to any managing agent who does not receive a copy of such written notice from the lender or  if the tenant or prospective tenant provides a copy of the written notice from the lender to the landlord or the managing agent. If the landlord fails to provide the notice required by this section, the tenant shall have the right to terminate the rental agreement upon written notice to the landlord at least five business days prior to the effective date of termination. If the tenant terminates the rental agreement, the landlord shall make disposition of the tenant's security deposit in accordance with law or the provisions of the rental agreement, whichever is applicable. If the dwelling unit is foreclosed upon and there is a tenant in such dwelling unit on the date of the foreclosure sale, the successor in interest who acquires the dwelling unit at the foreclosure sale shall assume such interest subject to the following: If the successor in interest acquires the dwelling unit for the purpose of occupying such unit as his primary residence, the successor in interest shall provide written notice to the tenant, in accordance with the provisions of Section 51-1202, notifying the tenant that the rental agreement is terminated and that the tenant must vacate the dwelling unit on a date not less than 90 days after the date of such written notice. If the successor in interest acquires the dwelling unit for any other purpose, the successor in interest shall acquire the dwelling unit subject to the rental agreement and the tenant shall be permitted to occupy the dwelling unit for the remaining term of the lease, provided, however, that the successor in interest may terminate the rental agreement pursuant to Section 51-1245 or the terms of the rental agreement. The successor in interest shall provide written notice to the tenant, in accordance with the provisions of Section 51-1202, informing the tenant of such.The terms of the terminated rental agreement remain in effect except that the tenant shall make rental payments  to the successor owner as directed in a written notice to the tenant in this subsection;  to the managing agent of the owner, if any, or successor owner; or  into a court escrow account pursuant to the provisions of Section 51-1244; however, there is no obligation of a tenant to file a tenant's assertion and pay rent into escrow. Where there is not a managing agent designated in the rental agreement, the tenant shall remain obligated for payment of the rent but shall not be held to be delinquent or assessed a late charge until the successor owner provides written notice identifying the name, address, and telephone number of the party to which the rent should be paid.2018, c. 221, Section 55-2421:3; 2019, c. 712; 2021, Sp. Sess. I, c. 42",VA,"successor, tenant, unit, dwelling, notice, written, rental, agreement, shall, managing"
32,title 55.1 chapter 12 section 55.1-1239 ," If contrary to the rental agreement or provisions of this chapter the landlord willfully or negligently fails to supply an essential service, the tenant shall serve a written notice on the landlord specifying the breach, if acting under this section, and, in such event and after allowing the landlord reasonable time to correct such breach, may: Recover damages based upon the diminution in the fair rental value of the dwelling unit; or Procure reasonable substitute housing during the period of the landlord's noncompliance, in which case the tenant is excused from paying rent for the period of the landlord's noncompliance, as determined by the court. If the tenant proceeds under this section, he shall be entitled to recover reasonable attorney fees; however, he may not proceed under Section 51-1234 as to that breach. The rights of the tenant under this section shall not arise until he has given written notice to the landlord; however, no rights arise if the condition was caused by the deliberate or negligent act or omission of the tenant, an authorized occupant, or a guest or invitee of the tenant.1974, c. 680, Section 55-2423; 1982, c. 260; 2000, c. 760; 2019, c. 71",VA,"breach, landlord, negligent, tenant, essential, arise, section, reasonable, noncompliance, recover"
33,title 55.1 chapter 12 section 55.1-1240 ,"If the dwelling unit or premises is damaged or destroyed by fire or casualty to an extent that the tenant's enjoyment of the dwelling unit is substantially impaired or required repairs can only be accomplished if the tenant vacates the dwelling unit, either the tenant or the landlord may terminate the rental agreement. The tenant may terminate the rental agreement by vacating the premises and within 14 days thereafter, serving on the landlord a written notice of his intention to terminate the rental agreement, in which case the rental agreement terminates as of the date of vacating. If continued occupancy is lawful, Section 51-1411 shall apply.The landlord may terminate the rental agreement by giving the tenant 14 days' notice of his intention to terminate the rental agreement on the basis of the landlord's determination that such damage requires the removal of the tenant and that the use of the premises is substantially impaired, in which case the rental agreement terminates as of the expiration of the notice period.If the rental agreement is terminated, the landlord shall return all security deposits in accordance with Section 51-1226 and prepaid rent, plus accrued interest, recoverable by law unless the landlord reasonably believes that the tenant, an authorized occupant, or a guest or invitee of the tenant was the cause of the damage or casualty, in which case the landlord shall provide a written statement to the tenant for the security and prepaid rent, plus accrued interest based upon the damage or casualty, and may recover actual damages sustained pursuant to Section 51-125 Proration for rent in the event of termination or apportionment shall be made as of the date of the casualty.1974, c. 680, Section 55-2424; 1982, c. 260; 2000, c. 760; 2005, c. 807; 2011, c. 766; 2015, c. 596; 2016, c. 744; 2017, c. 730; 2019, c. 71",VA,"casualty, rental, agreement, tenant, terminate, landlord, damage, vacating, plus, impaired"
34,title 55.1 chapter 12 section 55.1-1241 ," In an action for possession based upon nonpayment of rent or in an action for rent by a landlord when the tenant is in possession, the tenant may assert as a defense that there exists upon the leased premises a condition that constitutes, or will constitute, a fire hazard or a serious threat to the life, health, or safety of the occupants of the dwelling unit, including  a lack of heat, running water, light, electricity, or adequate sewage disposal facilities;  an infestation of rodents; or  a condition that constitutes material noncompliance on the part of the landlord with the rental agreement or provisions of law. The assertion of any defense provided for in this section shall be conditioned upon the following: Prior to the commencement of the action for rent or possession, the landlord or his agent refused or, having a reasonable opportunity to do so, failed to remedy the condition for which he was served a written notice of the condition by the tenant or was notified of such condition by a violation or condemnation notice from an appropriate state or local agency. For the purposes of this subsection, what period of time shall be deemed to be unreasonable delay is left to the discretion of the court, except that there shall be a rebuttable presumption that a period in excess of 30 days from receipt of the notification by the landlord is unreasonable; and The tenant, if in possession, has paid into court the amount of rent found by the court to be due and unpaid, to be held by the court pending the issuance of an order under subsection  It shall be a sufficient answer to such a defense provided for in this section if the landlord establishes that  the conditions alleged in the defense do not in fact exist;  such conditions have been removed or remedied;  such conditions have been caused by the tenant, his guest or invitee, members of the family of such tenant, or a guest or invitee of such family member; or (iv) the tenant has unreasonably refused entry to the landlord to the premises for the purposes of correcting such conditions. The court shall make findings of fact upon any defense raised under this section or the answer to any defense and shall issue any order as may be required, including any one or more of the following: Reducing rent in such amount as the court determines to be equitable to represent the existence of any condition set forth in subsection A; Terminating the rental agreement or ordering the surrender of the premises to the landlord; or Referring any matter before the court to the proper state or local agency for investigation and report and granting a continuance of the action or complaint pending receipt of such investigation and report. When such a continuance is granted, the tenant shall deposit with the court any rents that will become due during the period of continuance, to be held by the court pending its further order, or, in its discretion, the court may use such funds to  pay a mortgage on the property in order to stay a foreclosure,  pay a creditor to prevent or satisfy a bill to enforce a mechanic's or materialman's lien, or  remedy any condition set forth in subsection A that is found by the court to exist. If it appears that the tenant has raised a defense under this section in bad faith or has caused the violation or has unreasonably refused entry to the landlord for the purpose of correcting the condition giving rise to the violation, the court may impose upon the tenant the reasonable costs of the landlord, including court costs, the costs of repair where the court finds the tenant has caused the violation, and reasonable attorney fees. If the court finds that the tenant has successfully raised a defense under this section and enters judgment for the tenant, the court, in its discretion, may impose upon the landlord the reasonable costs of the tenant, including court costs, and reasonable attorney fees.1974, c. 680, Section 55-2425; 1982, c. 260; 2000, c. 760; 2019, cc. 324, 71",VA,"court, condition, defense, tenant, landlord, raised, cost, refused, discretion, violation"
35,title 55.1 chapter 12 section 55.1-1244 ," The tenant may assert that there exists upon the leased premises a condition that constitutes a material noncompliance by the landlord with the rental agreement or with provisions of law or that, if not promptly corrected, will constitute a fire hazard or serious threat to the life, health, or safety of occupants of the premises, including  a lack of heat or hot or cold running water, except where the tenant is responsible for payment of the utility charge and where the lack of such heat or hot or cold running water is the direct result of the tenant's failure to pay the utility charge;  a lack of light, electricity, or adequate sewage disposal facilities;  an infestation of rodents; or (iv) the existence of paint containing lead pigment on surfaces within the dwelling, provided that the landlord has notice of such paint. The tenant may file such an assertion in a general district court in which the premises is located by a declaration setting forth such assertion and asking for one or more forms of relief as provided for in subsection  Prior to the granting of any relief, the tenant shall show to the satisfaction of the court that: Prior to the commencement of the action, the landlord or his agent refused or, having a reasonable opportunity to do so, failed to remedy the condition for which he was served a written notice of the condition by the tenant or was notified of such condition by a violation or condemnation notice from an appropriate state or local agency. For the purposes of this subsection, what period of time shall be deemed to be unreasonable delay is left to the discretion of the court, except that there shall be a rebuttable presumption that a period in excess of 30 days from receipt of the notification by the landlord is unreasonable; and The tenant has paid into court the amount of rent called for under the rental agreement, within five days of the date due under the rental agreement, unless or until such amount is modified by subsequent order of the court under this chapter. It shall be sufficient answer or rejoinder to an assertion made pursuant to subsection A if the landlord establishes to the satisfaction of the court that  the conditions alleged by the tenant do not in fact exist;  such conditions have been removed or remedied;  such conditions have been caused by the tenant, his guest or invitee, members of the family of such tenant, or a guest or invitee of such family member; or (iv) the tenant has unreasonably refused entry to the landlord to the premises for the purpose of correcting such conditions. Any court shall make findings of fact on the issues before it and shall issue any order that may be required. Such an order may include any one or more of the following: Terminating the rental agreement upon the request of the tenant or ordering the surrender of the premises to the landlord if the landlord prevails on a request for possession pursuant to an unlawful detainer properly filed with the court; Ordering all moneys already accumulated in escrow disbursed to the landlord or to the tenant in accordance with this chapter; Ordering that the escrow be continued until the conditions causing the complaint are remedied; Ordering that the amount of rent, whether paid into the escrow account or paid to the landlord, be abated as determined by the court in such an amount as may be equitable to represent the existence of any condition found by the court to exist. In all cases where the court deems that the tenant is entitled to relief under this chapter, the burden shall be upon the landlord to show cause why there should not be an abatement of rent; Ordering any amount of moneys accumulated in escrow disbursed to the tenant where the landlord refuses to make repairs after a reasonable time or to the landlord or to a contractor chosen by the landlord in order to make repairs or to otherwise remedy the condition. In either case, the court shall in its order insure that moneys thus disbursed will be in fact used for the purpose of making repairs or effecting a remedy; Referring any matter before the court to the proper state or local agency for investigation and report and granting a continuance of the action or complaint pending receipt of such investigation and report. When such a continuance is granted, the tenant shall deposit with the court, within five days of date due under the rental agreement, subject to any abatement under this section, rents that become due during the period of the continuance, to be held by the court pending its further order; Ordering escrow funds disbursed to pay a mortgage on the property in order to stay a foreclosure; or Ordering escrow funds disbursed to pay a creditor to prevent or satisfy a bill to enforce a mechanic's or materialman's lien. Notwithstanding any provision of subsection D, where an escrow account is established by the court and the condition is not fully remedied within six months of the establishment of such account, and the landlord has not made reasonable attempts to remedy the condition, the court shall award all moneys accumulated in escrow to the tenant. In such event, the escrow shall not be terminated, but shall begin upon a new six-month period with the same result if, at the end of the period, the condition has not been remedied. The initial hearing on the tenant's assertion filed pursuant to subsection A shall be held within 15 calendar days from the date of service of process on the landlord as authorized by Section 51-1216, except that the court shall order an earlier hearing where emergency conditions are alleged to exist upon the premises, such as failure of heat in winter, lack of adequate sewage disposal facilities, or any other condition that constitutes an immediate threat to the health or safety of the inhabitants of the leased premises. The court, on motion of either party or on its own motion, may hold hearings subsequent to the initial proceeding in order to further determine the rights and obligations of the parties. Distribution of escrow moneys may only occur by order of the court after a hearing of which both parties are given notice as required by law or upon motion of both the landlord and tenant or upon certification by the appropriate inspector that the work required by the court to be done has been satisfactorily completed. If the tenant proceeds under this subsection, he may not proceed under any other section of this article as to that breach. In cases where the court deems that the tenant is entitled to relief under this section and enters judgment for the tenant, the court, in its discretion, may impose upon the landlord the reasonable costs of the tenant, including court costs, and reasonable attorney fees.1974, c. 680, Section 55-2427; 2000, c. 760; 2001, c. 524; 2016, cc. 384, 459; 2017, c. 730; 2019, cc. 324, 71",VA,"court, condition, escrow, tenant, ordering, landlord, disbursed, order, shall, relief"
